,install_time,event_time,appsflyer_id,media_source,campaign,platform,event_name,event_revenue,event_revenue_usd
0,2020-06-02 20:54:41,2020-06-04 11:40:18,1591129508239-3142404,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,2.98,2.127685
1,2020-05-28 02:36:43,2020-06-04 11:40:21,1590628006806-0974111,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,1.99,1.99
2,2020-06-04 09:15:43,2020-06-04 11:40:28,1591262141883-3114331743590099782,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,130,4.345428
3,2020-06-01 18:29:26,2020-06-04 11:42:06,1591036161379-8737446557920462756,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_ad-set-opt_value-opt_all-in-1,android,af_purchase,2.69,3.01412
4,2020-05-26 20:21:14,2020-06-04 11:47:21,1590522114287-8291438,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,149,2.155968
5,2020-06-03 23:34:04,2020-06-04 11:48:14,1591223169608-8100107,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,3.99,3.99
6,2020-06-03 19:48:21,2020-06-04 11:53:07,1591213700338-9128820387293109880,restricted,,android,af_purchase,10.99,13.778042
7,2020-02-04 05:44:53,2020-06-04 11:54:13,1580805345248-60698,googleadwords_int,iOS WW actions first_buy,ios,af_purchase,149,2.155968
8,2020-06-03 19:48:21,2020-06-04 11:56:25,1591213700338-9128820387293109880,restricted,,android,af_purchase,3.49,4.377103
9,2020-04-02 19:27:40,2020-06-04 12:02:05,1585855520286-5249425,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,24.99,24.99
10,2020-05-14 23:27:55,2020-06-04 12:05:32,1589498873514-3665905826276178829,unityads_int,DOZ_US_UA_andr_whitelist,android,af_purchase,1.49,1.49
11,2020-06-04 11:49:11,2020-06-04 12:10:32,1591271347221-793748570146844257,Facebook Ads,DOZ_Andr_lkl-1_purch_val-based_campaign-opt_purch-opt,android,af_purchase,4.19,4.694883
12,2020-05-31 01:58:37,2020-06-04 12:14:16,1590885905897-7392642,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,730,6.707031
13,2020-05-30 17:49:07,2020-06-04 12:15:30,1590860942072-6860938463856370720,Facebook Ads,doz_ak_andr_Tier-1_lkl_1%_m_18-40_purch_10$,android,af_purchase,1.79,2.004782
14,2020-06-03 15:41:02,2020-06-04 12:16:53,1591194151029-4886212,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_iOS_ad-set-opt_purch-opt_all-in-1,ios,af_purchase,14.99,3.992658
15,2020-06-03 15:41:48,2020-06-04 12:18:26,1591198901159-6185108194345503862,restricted,,android,af_purchase,590,1.474016
16,2020-05-29 18:25:07,2020-06-04 12:24:05,1590770602339-7514081,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,2.29,2.58027
17,2020-05-28 05:01:06,2020-06-04 12:26:00,1590641654950-2895894,Facebook Ads,DOZ_iOS_lkl-1_purch_180d_all-OS_campaign-opt_purch-opt,ios,af_purchase,149,2.154425
18,2020-05-31 01:58:37,2020-06-04 12:26:13,1590885905897-7392642,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,250,2.296929
19,2020-05-08 15:42:43,2020-06-04 12:30:24,1588952187280-6322604,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,38.99,26.923765
20,2020-05-08 15:42:43,2020-06-04 12:32:27,1588952187280-6322604,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,38.99,26.923765
21,2019-12-24 15:23:02,2020-06-04 12:36:11,1577041468133-5671785071892868213,googleadwords_int,DOZ_Android_UAC_Action_first_buy_WW,android,af_purchase,3.39,2.509527
22,2019-12-24 15:23:02,2020-06-04 12:38:20,1577041468133-5671785071892868213,googleadwords_int,DOZ_Android_UAC_Action_first_buy_WW,android,af_purchase,6.99,5.174512
23,2019-12-24 15:23:02,2020-06-04 12:40:20,1577041468133-5671785071892868213,googleadwords_int,DOZ_Android_UAC_Action_first_buy_WW,android,af_purchase,6.99,5.174512
24,2020-06-03 06:56:44,2020-06-04 12:44:15,1591166871395-7448487,Facebook Ads,DOZ_iOS_lkl-1_purch_val-based_campaign-opt_purch-opt,ios,af_purchase,5.99,4.136275
25,2020-05-31 01:58:37,2020-06-04 12:46:28,1590885905897-7392642,Facebook Ads,doz_ak_WW_lkl-1%_m_18-40_purch_10$,ios,af_purchase,730,6.707031
